id_transaksi,id_pelanggan,kategori,channel,kota,kuantitas,harga_satuan,diskon,total_nilai,tahun,bulan,tanggal,tanggal_transaksi
f9c89568,usr-0011,kesehatan,teller,Bandung,5,411929.2,0.2895,1463372.62,2024,10,2024-10-28,2024-10-28
1e7d2bb2,usr-0025,otomotif,web,Denpasar,16,2052064.58,0.2923,23235248.47,2024,2,2024-02-21,2024-02-21
fa640840,usr-0047,otomotif,web,Palembang,13,2254538.54,0.2364,22381789.66,2024,11,2024-11-30,2024-11-30
0f134256,usr-0026,kesehatan,atm,Makassar,5,470589.69,0.1276,2052639.27,2024,2,2024-02-02,2024-02-02
61c98094,usr-0074,elektronik,web,Jakarta,15,269273.78,0.1064,3609234.61,2024,6,2024-06-11,2024-06-11
656f6f6b,usr-0044,makanan,teller,Surabaya,19,95727.32,0.0713,1689152.6,2024,9,2024-09-23,2024-09-23
f0ab15c4,usr-0011,makanan,mobile,Bandung,15,15021.62,0.097,203466.58,2024,7,2024-07-13,2024-07-13
941c714e,usr-0013,otomotif,teller,Semarang,15,2240283.14,0.1336,29115128.02,2024,1,2024-01-28,2024-01-28
a3aa36f0,usr-0016,otomotif,web,Yogyakarta,17,336027.26,0.0986,5149157.41,2024,9,2024-09-05,2024-09-05
c80465ea,usr-0002,olahraga,web,Denpasar,16,879105.39,0.0107,13915229.84,2024,10,2024-10-01,2024-10-01
dd3dea72,usr-0003,otomotif,mobile,Palembang,8,2860967.3,0.0016,22851946.22,2024,9,2024-09-28,2024-09-28
bad70172,usr-0099,fashion,mobile,Yogyakarta,7,535574.06,0.1579,3157120.78,2024,10,2024-10-24,2024-10-24
5c10f4df,usr-0017,kesehatan,web,Medan,16,86928.04,0.0729,1289491.13,2024,7,2024-07-17,2024-07-17
42976af9,usr-0005,kesehatan,mobile,Palembang,1,186098.51,0.1771,153146.43,2024,3,2024-03-16,2024-03-16
af9365ae,usr-0046,makanan,mobile,Surabaya,18,117451.18,0.2627,1558737.95,2024,10,2024-10-08,2024-10-08
719c8da1,usr-0115,elektronik,web,Medan,11,1284204.45,0.0916,12832271.6,2024,12,2024-12-13,2024-12-13
d816e1a7,usr-0007,kesehatan,web,Denpasar,19,29509.73,0.1362,484319.81,2024,4,2024-04-21,2024-04-21
df673cb3,usr-0155,makanan,atm,Bandung,6,49488.29,0.2149,233111.5,2024,10,2024-10-01,2024-10-01
d1691422,usr-0230,olahraga,teller,Denpasar,19,848241.93,0.0731,14938405.41,2024,9,2024-09-08,2024-09-08
fc4b501c,usr-0055,olahraga,web,Semarang,9,1849544.28,0.019,16330454.91,2024,11,2024-11-10,2024-11-10
d6fa3629,usr-0078,otomotif,mobile,Yogyakarta,18,1365289.76,0.1318,21335430.52,2024,10,2024-10-03,2024-10-03
7bad25e2,usr-0001,fashion,mobile,Makassar,4,705477.98,0.2579,2094034.6,2024,7,2024-07-09,2024-07-09
e637b397,usr-0246,olahraga,teller,Medan,10,1038296.03,0.0669,9688247.33,2024,11,2024-11-26,2024-11-26
7693ccd6,usr-0017,olahraga,teller,Medan,17,1264827.26,0.2148,16883715.86,2024,9,2024-09-05,2024-09-05
9e6df8e3,usr-0227,otomotif,teller,Denpasar,10,1841160.89,0.2558,13702674.08,2024,9,2024-09-25,2024-09-25
1166af2a,usr-0050,makanan,atm,Medan,4,53106.51,0.1318,184423.49,2024,10,2024-10-01,2024-10-01
d21bc8e1,usr-0001,makanan,mobile,Makassar,5,27498.33,0.245,103809.37,2024,11,2024-11-06,2024-11-06
56bb48c7,usr-0001,otomotif,mobile,Makassar,18,467851.54,0.1512,7147968.21,2024,11,2024-11-01,2024-11-01
b6e1cb6a,usr-0082,makanan,mobile,Jakarta,9,22015.99,0.0243,193338.24,2024,10,2024-10-06,2024-10-06
a657d1b1,usr-0046,kesehatan,mobile,Surabaya,19,32216.54,0.1094,545153.38,2024,3,2024-03-27,2024-03-27
f347883a,usr-0001,elektronik,web,Makassar,13,2700352.14,0.1989,28123484.88,2024,8,2024-08-13,2024-08-13
260e8f8b,usr-0109,makanan,web,Palembang,11,126091.79,0.206,1101340.19,2024,4,2024-04-05,2024-04-05
e732dfb2,usr-0172,otomotif,web,Denpasar,16,1014013.47,0.2487,12188596.75,2024,7,2024-07-22,2024-07-22
98c67a1e,usr-0032,fashion,web,Yogyakarta,5,327872.87,0.074,1518080.74,2024,10,2024-10-14,2024-10-14
ad653ec0,usr-0027,makanan,web,Medan,10,51970.96,0.1278,453302.49,2024,9,2024-09-24,2024-09-24
df0e3b19,usr-0001,elektronik,atm,Makassar,10,4157992.06,0.2018,33187787.8,2024,10,2024-10-15,2024-10-15
a85a79d8,usr-0131,kesehatan,mobile,Balikpapan,2,151750.57,0.2537,226493.82,2024,7,2024-07-14,2024-07-14
1b9d36e4,usr-0011,otomotif,mobile,Bandung,3,2606459.21,0.2052,6214662.94,2024,4,2024-04-24,2024-04-24
fb3cd516,usr-0191,makanan,atm,Makassar,17,21356.52,0.0212,355377.72,2024,11,2024-11-04,2024-11-04
251f52b1,usr-0015,elektronik,teller,Semarang,17,1162036.73,0.2764,14294246.15,2024,11,2024-11-04,2024-11-04
cd9de924,usr-0046,olahraga,mobile,Surabaya,12,1369827.22,0.2332,12605102.64,2024,2,2024-02-10,2024-02-10
43bc938e,usr-0007,olahraga,atm,Denpasar,14,1722102.89,0.2672,17666586.48,2024,12,2024-12-23,2024-12-23
a03d46af,usr-0003,olahraga,web,Palembang,14,456883.35,0.0396,6143190.11,2024,6,2024-06-19,2024-06-19
dd0ebfc9,usr-0125,kesehatan,teller,Bandung,19,362651.97,0.0815,6328856.76,2024,1,2024-01-26,2024-01-26
5d4d4dbf,usr-0032,fashion,web,Yogyakarta,3,406520.77,0.1572,1027890.25,2024,7,2024-07-16,2024-07-16
071c4490,usr-0040,kesehatan,teller,Semarang,5,362802.37,0.1755,1495735.37,2024,3,2024-03-05,2024-03-05
40f446a3,usr-0265,kesehatan,web,Makassar,11,199834.97,0.2945,1550848.63,2024,11,2024-11-21,2024-11-21
00e7f9fb,usr-0263,fashion,atm,Medan,4,727124.67,0.2717,2118208.59,2024,12,2024-12-02,2024-12-02
2e9da681,usr-0174,kesehatan,mobile,Jakarta,3,477053.39,0.2767,1035220.48,2024,2,2024-02-28,2024-02-28
9003549e,usr-0004,fashion,teller,Denpasar,19,335293.14,0.2895,4526327.41,2024,6,2024-06-25,2024-06-25
c1304cf6,usr-0054,makanan,teller,Medan,20,98754.89,0.174,1631421.17,2024,11,2024-11-15,2024-11-15
e451cf9c,usr-0190,makanan,atm,Yogyakarta,20,114218.88,0.2852,1632961.29,2024,4,2024-04-14,2024-04-14
244adb79,usr-0015,makanan,teller,Semarang,6,68513.7,0.0427,393549.12,2024,2,2024-02-13,2024-02-13
92b25095,usr-0002,olahraga,atm,Denpasar,7,1065368.25,0.2383,5680504.09,2024,12,2024-12-12,2024-12-12
b5992836,usr-0145,makanan,web,Bandung,11,136513.52,0.2838,1075531.15,2024,8,2024-08-14,2024-08-14
0d1bff55,usr-0030,kesehatan,web,Yogyakarta,6,308404.22,0.0901,1683767.09,2024,9,2024-09-04,2024-09-04
a3c093db,usr-0046,elektronik,teller,Surabaya,8,2037444.95,0.2702,11895405.35,2024,9,2024-09-07,2024-09-07
29ae0514,usr-0282,olahraga,mobile,Balikpapan,8,1429904.81,0.1627,9577616.89,2024,4,2024-04-19,2024-04-19
c3973fb4,usr-0058,elektronik,mobile,Bandung,11,6081716.25,0.007,66428427.02,2024,8,2024-08-04,2024-08-04
e50d1602,usr-0021,kesehatan,teller,Bandung,8,190154.6,0.2813,1093302.2,2024,5,2024-05-04,2024-05-04
01d41ca1,usr-0015,elektronik,mobile,Semarang,19,2163381.41,0.1644,34347131.73,2024,9,2024-09-25,2024-09-25
9a2fb5b4,usr-0020,kesehatan,mobile,Denpasar,15,365945.38,0.1767,4519277.59,2024,3,2024-03-14,2024-03-14
15ea5417,usr-0002,makanan,mobile,Denpasar,7,90035.23,0.1978,505564.56,2024,2,2024-02-27,2024-02-27
f28057c2,usr-0136,makanan,web,Yogyakarta,18,96284.21,0.0218,1695283.16,2024,2,2024-02-26,2024-02-26
f03beec6,usr-0162,fashion,teller,Denpasar,9,453672.7,0.0578,3846912.46,2024,11,2024-11-13,2024-11-13
c7b1bdc6,usr-0008,otomotif,teller,Balikpapan,3,912674.4,0.1668,2281457.13,2024,12,2024-12-23,2024-12-23
086154bf,usr-0009,fashion,web,Palembang,18,476694.6,0.2021,6846165.57,2024,9,2024-09-09,2024-09-09
bc4af8db,usr-0187,makanan,mobile,Balikpapan,11,99849.15,0.2864,783780.1,2024,1,2024-01-16,2024-01-16
ed92731d,usr-0001,elektronik,teller,Makassar,17,770355.35,0.1154,11584434.04,2024,5,2024-05-18,2024-05-18
eb950aae,usr-0037,elektronik,teller,Semarang,1,941517.84,0.151,799327.47,2024,9,2024-09-15,2024-09-15
57ead83f,usr-0027,fashion,web,Medan,17,776258.59,0.2986,9255882.63,2024,8,2024-08-15,2024-08-15
b439c958,usr-0086,fashion,teller,Balikpapan,4,501580.16,0.0302,1945633.59,2024,7,2024-07-11,2024-07-11
aaedbc0f,usr-0003,kesehatan,teller,Palembang,15,387421.74,0.1685,4832041.65,2024,7,2024-07-19,2024-07-19
d1c1beec,usr-0077,otomotif,atm,Bandung,20,954267.36,0.2608,14108543.11,2024,2,2024-02-13,2024-02-13
73353a4b,usr-0016,otomotif,mobile,Yogyakarta,18,905927.55,0.2082,12911816.94,2024,7,2024-07-31,2024-07-31
1ca2a7f8,usr-0061,fashion,teller,Surabaya,1,663802.34,0.2485,498835.62,2024,12,2024-12-24,2024-12-24
7b6c344a,usr-0001,olahraga,teller,Makassar,10,1137966.12,0.1693,9452691.27,2024,4,2024-04-20,2024-04-20
5abcda7d,usr-0026,makanan,teller,Makassar,17,24627.75,0.0164,411789.69,2024,2,2024-02-25,2024-02-25
eec11370,usr-0037,otomotif,mobile,Semarang,16,1582550.64,0.2706,18467768.92,2024,2,2024-02-10,2024-02-10
2f7e7f3c,usr-0005,makanan,teller,Palembang,9,145648.91,0.2496,983711.27,2024,10,2024-10-06,2024-10-06
35e42468,usr-0002,fashion,mobile,Denpasar,19,70463.81,0.0426,1281830.35,2024,10,2024-10-04,2024-10-04
116f62b8,usr-0004,olahraga,atm,Denpasar,6,2298703.53,0.2968,9699151.93,2024,3,2024-03-21,2024-03-21
d7d22763,usr-0013,otomotif,teller,Semarang,16,467458.69,0.209,5916429.63,2024,10,2024-10-02,2024-10-02
e50303b5,usr-0002,otomotif,mobile,Denpasar,15,2039578.62,0.0421,29306977.08,2024,4,2024-04-18,2024-04-18
bab69824,usr-0248,olahraga,mobile,Denpasar,6,1962143.52,0.1521,9981861.94,2024,11,2024-11-17,2024-11-17
89d51332,usr-0019,kesehatan,web,Denpasar,6,76304.47,0.2555,340837.74,2024,9,2024-09-04,2024-09-04
66b0535b,usr-0144,olahraga,teller,Semarang,15,2127193.64,0.0739,29550544.64,2024,12,2024-12-05,2024-12-05
99cafe92,usr-0274,olahraga,atm,Surabaya,2,2287862.7,0.2603,3384708.52,2024,10,2024-10-21,2024-10-21
f0a05869,usr-0001,fashion,atm,Makassar,1,451440.82,0.0336,436261.43,2024,6,2024-06-03,2024-06-03
81057696,usr-0072,kesehatan,web,Denpasar,11,95958.11,0.0164,1038254.53,2024,1,2024-01-13,2024-01-13
bccc4052,usr-0185,makanan,teller,Jakarta,12,23232.46,0.1858,226986.26,2024,3,2024-03-09,2024-03-09
b4f2aeb2,usr-0066,olahraga,teller,Makassar,2,1304861.79,0.0163,2567104.31,2024,1,2024-01-20,2024-01-20
a2bec1de,usr-0022,makanan,mobile,Palembang,16,26813.66,0.296,302036.2,2024,3,2024-03-16,2024-03-16
781b4ead,usr-0022,otomotif,teller,Palembang,16,1434809.84,0.0561,21667934.37,2024,3,2024-03-25,2024-03-25
801f8390,usr-0001,kesehatan,atm,Makassar,13,346150.82,0.2829,3226816.81,2024,2,2024-02-23,2024-02-23
b4847597,usr-0040,fashion,atm,Semarang,2,426181.0,0.0226,833104.38,2024,8,2024-08-10,2024-08-10
913ed359,usr-0294,kesehatan,atm,Semarang,8,193354.71,0.0781,1426091.02,2024,3,2024-03-23,2024-03-23
f0ce077b,usr-0259,kesehatan,web,Semarang,13,174015.71,0.1769,1862002.45,2024,4,2024-04-20,2024-04-20
beaff2d4,usr-0001,otomotif,mobile,Makassar,8,351909.8,0.0632,2637235.2,2024,8,2024-08-16,2024-08-16
bf82babc,usr-0092,makanan,atm,Semarang,18,43655.06,0.081,722177.1,2024,4,2024-04-08,2024-04-08
7496f8c2,usr-0009,elektronik,mobile,Palembang,17,630414.98,0.109,9548647.92,2024,7,2024-07-27,2024-07-27
cf6f243f,usr-0210,makanan,atm,Balikpapan,6,28298.34,0.1244,148671.82,2024,9,2024-09-26,2024-09-26
0b3e21cb,usr-0001,olahraga,atm,Makassar,8,2332488.17,0.2442,14102597.27,2024,7,2024-07-04,2024-07-04
d3e3e25a,usr-0238,fashion,teller,Jakarta,10,94336.1,0.0554,891078.36,2024,11,2024-11-23,2024-11-23
2c643ea6,usr-0162,otomotif,atm,Denpasar,11,2025040.77,0.1746,18385351.88,2024,5,2024-05-27,2024-05-27
773aeea8,usr-0002,fashion,teller,Denpasar,7,64631.19,0.0205,443141.91,2024,11,2024-11-30,2024-11-30
8ad0a1c6,usr-0001,kesehatan,atm,Makassar,9,414036.3,0.2295,2871020.04,2024,8,2024-08-18,2024-08-18
2cc90d85,usr-0160,fashion,web,Makassar,19,93598.53,0.2847,1272012.9,2024,5,2024-05-29,2024-05-29
f39d37ed,usr-0003,elektronik,teller,Palembang,19,5734215.29,0.2089,86193394.72,2024,5,2024-05-02,2024-05-02
f46a36cd,usr-0040,otomotif,mobile,Semarang,17,1323447.09,0.2852,16082011.73,2024,6,2024-06-06,2024-06-06
ef8e5896,usr-0220,fashion,atm,Semarang,17,58255.42,0.0903,900951.09,2024,6,2024-06-19,2024-06-19
91fbbe0c,usr-0047,otomotif,teller,Palembang,12,2589781.44,0.0522,29456071.89,2024,9,2024-09-28,2024-09-28
2d9f939d,usr-0018,olahraga,mobile,Jakarta,19,1800074.38,0.1966,27476128.51,2024,5,2024-05-29,2024-05-29
ba639194,usr-0024,fashion,teller,Surabaya,16,604935.31,0.1287,8433241.3,2024,4,2024-04-05,2024-04-05
e05ba90e,usr-0001,makanan,teller,Makassar,15,58434.18,0.2391,666919.7,2024,9,2024-09-05,2024-09-05
aea9b741,usr-0268,otomotif,teller,Surabaya,18,895486.76,0.1025,14466041.93,2024,8,2024-08-15,2024-08-15
bed9ad45,usr-0010,elektronik,mobile,Surabaya,7,1752862.89,0.292,8687060.91,2024,1,2024-01-03,2024-01-03
e4421862,usr-0004,elektronik,atm,Denpasar,12,744789.14,0.0706,8306309.95,2024,12,2024-12-25,2024-12-25
b656a976,usr-0008,elektronik,atm,Balikpapan,16,2431871.39,0.1194,34263447.09,2024,12,2024-12-03,2024-12-03
bd068417,usr-0264,olahraga,mobile,Medan,18,2058266.54,0.2784,26734356.73,2024,11,2024-11-03,2024-11-03
7570130a,usr-0002,olahraga,mobile,Denpasar,12,1057314.51,0.0871,11582336.84,2024,3,2024-03-26,2024-03-26
b95ccefb,usr-0182,fashion,teller,Yogyakarta,8,302255.75,0.0941,2190454.44,2024,1,2024-01-06,2024-01-06
8b65054c,usr-0093,otomotif,web,Makassar,3,2079998.23,0.284,4467649.54,2024,1,2024-01-04,2024-01-04
de124127,usr-0157,olahraga,web,Bandung,1,2273360.38,0.1958,1828243.28,2024,6,2024-06-21,2024-06-21
7831c034,usr-0275,olahraga,web,Makassar,6,738034.91,0.1929,3574124.35,2024,10,2024-10-22,2024-10-22
b95a5689,usr-0165,makanan,atm,Balikpapan,19,39374.64,0.0382,719522.67,2024,2,2024-02-28,2024-02-28
f9f31682,usr-0244,kesehatan,atm,Bandung,1,171934.1,0.2393,130782.31,2024,9,2024-09-17,2024-09-17
47aa5f8b,usr-0002,olahraga,teller,Denpasar,14,1479518.1,0.1805,16973789.47,2024,10,2024-10-01,2024-10-01
0a25ce5c,usr-0136,makanan,atm,Yogyakarta,14,27178.66,0.1309,330683.35,2024,9,2024-09-26,2024-09-26
a9d22bab,usr-0042,fashion,atm,Makassar,11,96595.66,0.2867,757955.54,2024,4,2024-04-01,2024-04-01
63c95c98,usr-0041,makanan,web,Balikpapan,6,119096.88,0.0498,679024.35,2024,5,2024-05-17,2024-05-17
5bb4f6f4,usr-0206,olahraga,web,Semarang,3,639026.1,0.2584,1421612.45,2024,3,2024-03-30,2024-03-30
034ad1eb,usr-0271,kesehatan,teller,Makassar,12,276540.68,0.1053,2968936.71,2024,9,2024-09-11,2024-09-11
71a6862f,usr-0092,olahraga,web,Semarang,13,1311024.66,0.0053,16953361.04,2024,1,2024-01-20,2024-01-20
694c9203,usr-0030,kesehatan,web,Yogyakarta,20,170577.58,0.2718,2484317.22,2024,4,2024-04-05,2024-04-05
3c68a759,usr-0025,makanan,teller,Denpasar,10,32447.45,0.0065,322368.86,2024,9,2024-09-03,2024-09-03
1d21f714,usr-0017,kesehatan,mobile,Medan,15,179571.68,0.2952,1898557.85,2024,1,2024-01-12,2024-01-12
272ce7fd,usr-0014,makanan,web,Palembang,20,30776.2,0.288,438257.69,2024,2,2024-02-06,2024-02-06
7f8ad57f,usr-0017,elektronik,mobile,Medan,14,5111992.01,0.199,57326954.85,2024,9,2024-09-18,2024-09-18
591d084d,usr-0002,otomotif,atm,Denpasar,4,2766954.0,0.1633,9260142.84,2024,10,2024-10-25,2024-10-25
7cfe7b2d,usr-0001,otomotif,web,Makassar,10,1776148.03,0.2871,12663039.02,2024,3,2024-03-27,2024-03-27
d3487811,usr-0127,otomotif,atm,Balikpapan,16,487966.88,0.2203,6087458.68,2024,1,2024-01-13,2024-01-13
b977ec86,usr-0024,elektronik,mobile,Surabaya,17,1464865.61,0.0717,23117044.01,2024,8,2024-08-19,2024-08-19
9680866d,usr-0233,olahraga,teller,Makassar,11,1671705.48,0.161,15427941.39,2024,11,2024-11-20,2024-11-20
bb71db9c,usr-0059,fashion,atm,Medan,9,592119.68,0.2043,4240092.63,2024,6,2024-06-19,2024-06-19
026b36ac,usr-0001,makanan,web,Makassar,19,120942.42,0.0194,2253292.74,2024,2,2024-02-24,2024-02-24
89349866,usr-0003,fashion,teller,Palembang,15,132298.1,0.145,1696756.62,2024,2,2024-02-11,2024-02-11
1ca59e9e,usr-0004,kesehatan,web,Denpasar,1,439591.62,0.2302,338375.85,2024,8,2024-08-18,2024-08-18
9e82d5d2,usr-0275,makanan,teller,Makassar,6,117605.33,0.0684,657395.96,2024,3,2024-03-19,2024-03-19
479103f5,usr-0005,kesehatan,atm,Palembang,6,430369.41,0.233,1980560.82,2024,8,2024-08-11,2024-08-11
89c9499c,usr-0036,olahraga,teller,Jakarta,7,1630212.22,0.2219,8879641.12,2024,9,2024-09-10,2024-09-10
36c2b1e1,usr-0238,makanan,teller,Jakarta,16,29849.24,0.265,351045.44,2024,11,2024-11-12,2024-11-12
b75d446d,usr-0277,kesehatan,mobile,Medan,17,65197.5,0.2006,886045.4,2024,3,2024-03-25,2024-03-25
6f401bcb,usr-0006,otomotif,mobile,Yogyakarta,10,2413579.3,0.1228,21171699.1,2024,2,2024-02-23,2024-02-23
79cef200,usr-0001,elektronik,atm,Makassar,12,494814.04,0.2655,4361258.76,2024,1,2024-01-08,2024-01-08
f5b1607c,usr-0003,olahraga,mobile,Palembang,17,184332.79,0.0625,2937851.79,2024,4,2024-04-01,2024-04-01
7af8ba7c,usr-0001,makanan,teller,Makassar,1,30115.15,0.2233,23389.49,2024,6,2024-06-26,2024-06-26
cdead898,usr-0004,fashion,atm,Denpasar,13,152780.11,0.2391,1511291.93,2024,3,2024-03-12,2024-03-12
1a4c1f72,usr-0047,kesehatan,atm,Palembang,18,401750.62,0.0896,6583784.36,2024,7,2024-07-22,2024-07-22
aed9412b,usr-0217,makanan,atm,Medan,12,144896.7,0.0899,1582481.22,2024,2,2024-02-10,2024-02-10
70d2187b,usr-0040,makanan,atm,Semarang,11,131102.99,0.1645,1204929.72,2024,6,2024-06-01,2024-06-01
59fc7555,usr-0063,kesehatan,atm,Jakarta,10,346043.59,0.1959,2782663.39,2024,3,2024-03-12,2024-03-12
26025a08,usr-0004,elektronik,atm,Denpasar,12,2668675.32,0.213,25203250.96,2024,11,2024-11-21,2024-11-21
0252c95d,usr-0139,kesehatan,mobile,Palembang,18,115651.02,0.1293,1812642.27,2024,10,2024-10-19,2024-10-19
a4346fc3,usr-0061,otomotif,web,Surabaya,9,1618148.95,0.1747,12019173.16,2024,10,2024-10-23,2024-10-23
f3286437,usr-0180,otomotif,web,Denpasar,6,1738953.8,0.075,9651005.77,2024,2,2024-02-22,2024-02-22
76b943db,usr-0249,fashion,web,Bandung,11,400520.76,0.1956,3543888.97,2024,2,2024-02-14,2024-02-14
62e1ac6c,usr-0013,olahraga,atm,Semarang,5,1136195.13,0.2368,4335824.79,2024,12,2024-12-22,2024-12-22
fc695cef,usr-0002,elektronik,teller,Denpasar,18,299386.11,0.19,4365275.05,2024,1,2024-01-19,2024-01-19
