id_transaksi,id_pelanggan,tanggal,kategori,total_nilai,kota
TRX-00037,PLG-0030,2024-02-22,Otomotif,18578227.96,Yogyakarta
TRX-00038,PLG-0027,2024-02-19,Makanan,144747.04,Medan
TRX-00039,PLG-0002,2024-11-10,Elektronik,21908006.93,Denpasar
TRX-00040,PLG-0010,2024-09-06,Olahraga,1806492.57,Surabaya
TRX-00041,PLG-0013,2024-06-10,Kesehatan,7514066.76,Semarang
TRX-00042,PLG-0034,2024-04-07,Otomotif,16946717.69,Jakarta
TRX-00043,PLG-0013,2024-10-29,Kesehatan,622730.84,Semarang
TRX-00044,PLG-0006,2024-09-25,Otomotif,2478563.53,Yogyakarta
TRX-00045,PLG-0005,2024-05-13,Makanan,518836.81,Palembang
TRX-00046,PLG-0006,2024-11-15,Makanan,558900.84,Yogyakarta
TRX-00047,PLG-0016,2024-08-27,Otomotif,20409100.08,Yogyakarta
TRX-00048,PLG-0033,2024-07-10,Makanan,285927.25,Semarang
TRX-00049,PLG-0007,2024-02-05,Makanan,278639.3,Denpasar
TRX-00050,PLG-0003,2024-08-30,Elektronik,23637599.81,Palembang
TRX-00051,PLG-0002,2024-03-21,Olahraga,11548265.14,Denpasar
TRX-00052,PLG-0022,2024-06-26,Kesehatan,911538.77,Palembang
TRX-00053,PLG-0028,2024-12-06,Kesehatan,3696874.02,Bandung
TRX-00054,PLG-0001,2024-06-28,Otomotif,431877.31,Makassar
TRX-00055,PLG-0001,2024-09-10,Olahraga,27287925.78,Makassar
TRX-00056,PLG-0013,2024-10-15,Elektronik,4936539.33,Semarang
TRX-00057,PLG-0001,2024-08-18,Elektronik,27581894.54,Makassar
TRX-00058,PLG-0029,2024-11-28,Kesehatan,3561763.89,Semarang
TRX-00059,PLG-0004,2024-11-25,Fashion,1205136.29,Denpasar
TRX-00060,PLG-0001,2024-06-02,Kesehatan,447276.21,Makassar
TRX-00061,PLG-0040,2024-06-28,Fashion,1288408.69,Semarang
TRX-00062,PLG-0002,2024-07-31,Otomotif,2574061.04,Denpasar
TRX-00063,PLG-0003,2024-03-05,Fashion,758634.59,Palembang
TRX-00064,PLG-0002,2024-05-16,Makanan,866533.29,Denpasar
TRX-00065,PLG-0001,2024-12-12,Elektronik,18765474.91,Makassar
TRX-00066,PLG-0001,2024-05-31,Kesehatan,1094965.79,Makassar
TRX-00067,PLG-0001,2024-12-28,Otomotif,8528034.79,Makassar
TRX-00068,PLG-0002,2024-03-25,Makanan,439491.9,Denpasar
TRX-00069,PLG-0001,2024-06-18,Fashion,10232247.52,Makassar
TRX-00070,PLG-0013,2024-09-04,Kesehatan,739744.58,Semarang
TRX-00071,PLG-0018,2024-12-10,Elektronik,12148190.17,Jakarta
TRX-00072,PLG-0005,2024-02-09,Olahraga,14708802.02,Palembang
TRX-00073,PLG-0004,2024-07-22,Kesehatan,2787526.23,Denpasar
TRX-00074,PLG-0009,2024-05-04,Makanan,547404.79,Palembang
TRX-00075,PLG-0034,2024-03-29,Elektronik,62664203.27,Jakarta
TRX-00076,PLG-0032,2024-10-01,Makanan,1213382.98,Yogyakarta
TRX-00077,PLG-0001,2024-10-31,Elektronik,55257758.18,Makassar
TRX-00078,PLG-0002,2024-01-01,Olahraga,2738910.01,Denpasar
TRX-00079,PLG-0002,2024-04-11,Fashion,3291891.3,Denpasar
TRX-00080,PLG-0003,2024-02-22,Fashion,4868579.74,Palembang
TRX-00081,PLG-0012,2024-07-07,Makanan,204958.86,Denpasar
TRX-00082,PLG-0006,2024-12-12,Kesehatan,6340639.75,Yogyakarta
TRX-00083,PLG-0001,2024-10-02,Fashion,2313878.38,Makassar
TRX-00084,PLG-0005,2024-07-24,Kesehatan,5001097.93,Palembang
TRX-00085,PLG-0010,2024-02-18,Otomotif,5455512.36,Surabaya
TRX-00086,PLG-0001,2024-07-29,Fashion,380941.06,Makassar
TRX-00087,PLG-0030,2024-12-15,Otomotif,8425826.28,Yogyakarta
TRX-00088,PLG-0001,2024-02-21,Fashion,1914833.65,Makassar
TRX-00089,PLG-0040,2024-09-04,Fashion,935193.49,Semarang
TRX-00090,PLG-0001,2024-01-17,Fashion,8282906.91,Makassar
TRX-00091,PLG-0031,2024-03-27,Otomotif,36736432.75,Denpasar
TRX-00092,PLG-0037,2024-12-05,Makanan,168014.42,Semarang
TRX-00093,PLG-0048,2024-04-08,Olahraga,11293764.33,Balikpapan
TRX-00094,PLG-0027,2024-10-22,Olahraga,13327675.2,Medan
TRX-00095,PLG-0025,2024-04-09,Fashion,9817511.47,Denpasar
TRX-00096,PLG-0015,2024-01-17,Fashion,7606296.88,Semarang
TRX-00097,PLG-0025,2024-09-12,Kesehatan,316555.15,Denpasar
TRX-00098,PLG-0001,2024-05-28,Makanan,270004.86,Makassar
TRX-00099,PLG-0010,2024-09-09,Olahraga,17640216.17,Surabaya
TRX-00100,PLG-0009,2024-10-28,Fashion,473524.69,Palembang
TRX-00101,PLG-0032,2024-07-21,Elektronik,12423209.81,Yogyakarta
TRX-00102,PLG-0007,2024-06-29,Makanan,376015.04,Denpasar
TRX-00103,PLG-0005,2024-11-02,Olahraga,18751554.56,Palembang
TRX-00104,PLG-0015,2024-05-04,Makanan,1228280.13,Semarang
TRX-00105,PLG-0003,2024-08-18,Otomotif,28008297.23,Palembang
TRX-00106,PLG-0001,2024-08-03,Fashion,538846.57,Makassar
TRX-00107,PLG-0008,2024-03-31,Makanan,534164.41,Balikpapan
TRX-00108,PLG-0006,2024-09-11,Kesehatan,4420088.25,Yogyakarta
TRX-00109,PLG-0002,2024-09-01,Elektronik,6812924.26,Denpasar
TRX-00110,PLG-0005,2024-03-06,Fashion,1133819.74,Palembang
TRX-00111,PLG-0005,2024-09-09,Elektronik,10580751.69,Palembang
TRX-00112,PLG-0004,2024-07-12,Olahraga,20385523.61,Denpasar
TRX-00113,PLG-0005,2024-01-28,Elektronik,46711731.52,Palembang
TRX-00114,PLG-0018,2024-01-04,Makanan,729354.18,Jakarta
TRX-00115,PLG-0003,2024-11-12,Olahraga,9037324.48,Palembang
TRX-00116,PLG-0043,2024-09-19,Fashion,6418962.39,Medan
TRX-00117,PLG-0039,2024-08-14,Fashion,3534443.88,Denpasar
TRX-00118,PLG-0008,2024-08-09,Kesehatan,3284628.27,Balikpapan
TRX-00119,PLG-0004,2024-11-26,Makanan,158196.46,Denpasar
TRX-00120,PLG-0010,2024-12-22,Fashion,1418624.27,Surabaya
TRX-00121,PLG-0031,2024-12-14,Makanan,824111.67,Denpasar
TRX-00122,PLG-0016,2024-11-11,Fashion,677893.4,Yogyakarta
TRX-00123,PLG-0027,2024-05-17,Makanan,296805.07,Medan
TRX-00124,PLG-0010,2024-07-03,Olahraga,4301603.13,Surabaya
TRX-00125,PLG-0015,2024-01-19,Elektronik,57283386.85,Semarang
TRX-00126,PLG-0003,2024-07-12,Otomotif,4374107.92,Palembang
TRX-00127,PLG-0021,2024-09-04,Elektronik,37328610.08,Bandung
TRX-00128,PLG-0002,2024-09-26,Kesehatan,1003727.19,Denpasar
TRX-00129,PLG-0019,2024-02-14,Fashion,11240519.78,Denpasar
TRX-00130,PLG-0033,2024-10-20,Fashion,8937542.31,Semarang
TRX-00131,PLG-0001,2024-10-26,Olahraga,10936083.79,Makassar
TRX-00132,PLG-0014,2024-06-23,Otomotif,37931971.7,Palembang
TRX-00133,PLG-0001,2024-11-13,Olahraga,14596278.31,Makassar
TRX-00134,PLG-0021,2024-06-08,Makanan,569634.04,Bandung
TRX-00135,PLG-0001,2024-12-22,Olahraga,5797980.25,Makassar
TRX-00136,PLG-0042,2024-10-19,Fashion,782602.14,Makassar
TRX-00137,PLG-0001,2024-04-30,Makanan,973095.43,Makassar
TRX-00138,PLG-0045,2024-08-23,Elektronik,2008532.4,Surabaya
TRX-00139,PLG-0027,2024-03-10,Olahraga,25376995.63,Medan
TRX-00140,PLG-0013,2024-10-26,Makanan,850089.1,Semarang
TRX-00141,PLG-0025,2024-01-26,Elektronik,7208212.6,Denpasar
TRX-00142,PLG-0026,2024-06-27,Elektronik,28738381.5,Makassar
TRX-00143,PLG-0043,2024-06-24,Fashion,229883.22,Medan
TRX-00144,PLG-0003,2024-08-10,Kesehatan,390534.73,Palembang
TRX-00145,PLG-0012,2024-06-04,Otomotif,30203623.99,Denpasar
TRX-00146,PLG-0001,2024-02-22,Olahraga,1023550.28,Makassar
TRX-00147,PLG-0014,2024-05-30,Kesehatan,741926.81,Palembang
TRX-00148,PLG-0002,2024-08-05,Elektronik,47157742.06,Denpasar
TRX-00149,PLG-0011,2024-06-01,Fashion,1606234.25,Bandung
TRX-00150,PLG-0012,2024-01-10,Olahraga,31132870.59,Denpasar
TRX-00151,PLG-0007,2024-06-16,Otomotif,12013770.76,Denpasar
TRX-00152,PLG-0009,2024-09-29,Olahraga,4089062.09,Palembang
TRX-00153,PLG-0024,2024-09-27,Kesehatan,5569339.35,Surabaya
TRX-00154,PLG-0027,2024-10-24,Fashion,2661260.53,Medan
TRX-00155,PLG-0008,2024-12-22,Elektronik,46580909.92,Balikpapan
TRX-00156,PLG-0013,2024-04-12,Kesehatan,778485.1,Semarang
TRX-00157,PLG-0041,2024-11-22,Olahraga,22088674.94,Balikpapan
TRX-00158,PLG-0001,2024-01-25,Kesehatan,1126813.7,Makassar
TRX-00159,PLG-0001,2024-05-20,Otomotif,2291808.23,Makassar
TRX-00160,PLG-0001,2024-06-23,Elektronik,4073797.36,Makassar
TRX-00161,PLG-0016,2024-04-23,Kesehatan,3387469.51,Yogyakarta
TRX-00162,PLG-0006,2024-02-12,Kesehatan,2015645.73,Yogyakarta
TRX-00163,PLG-0025,2024-04-07,Olahraga,1805346.98,Denpasar
TRX-00164,PLG-0017,2024-03-24,Kesehatan,1334458.28,Medan
TRX-00165,PLG-0004,2024-12-02,Otomotif,11572612.81,Denpasar
TRX-00166,PLG-0037,2024-05-22,Makanan,400400.05,Semarang
TRX-00167,PLG-0024,2024-03-04,Elektronik,24087396.1,Surabaya
TRX-00168,PLG-0003,2024-02-29,Olahraga,7648846.48,Palembang
TRX-00169,PLG-0005,2024-08-31,Olahraga,16419517.6,Palembang
TRX-00170,PLG-0004,2024-02-17,Otomotif,21550268.02,Denpasar
TRX-00171,PLG-0002,2024-05-08,Makanan,1306658.94,Denpasar
TRX-00172,PLG-0001,2024-01-01,Kesehatan,4563092.55,Makassar
TRX-00173,PLG-0042,2024-12-05,Fashion,6180893.8,Makassar
TRX-00174,PLG-0007,2024-09-07,Elektronik,22830122.61,Denpasar
TRX-00175,PLG-0005,2024-03-30,Fashion,2670360.36,Palembang
TRX-00176,PLG-0021,2024-10-23,Fashion,2325181.47,Bandung
TRX-00177,PLG-0011,2024-06-27,Fashion,761424.4,Bandung
TRX-00178,PLG-0042,2024-12-08,Olahraga,1951432.91,Makassar
TRX-00179,PLG-0025,2024-11-01,Olahraga,11581430.45,Denpasar
TRX-00180,PLG-0008,2024-01-27,Fashion,95436.18,Balikpapan
TRX-00181,PLG-0005,2024-06-15,Makanan,813520.09,Palembang
TRX-00182,PLG-0049,2024-04-15,Olahraga,2838752.2,Medan
TRX-00183,PLG-0020,2024-03-03,Makanan,476180.01,Denpasar
TRX-00184,PLG-0044,2024-06-27,Otomotif,11956411.47,Surabaya
TRX-00185,PLG-0001,2024-08-31,Olahraga,22090139.88,Makassar
TRX-00186,PLG-0032,2024-11-06,Makanan,193911.16,Yogyakarta
TRX-00187,PLG-0015,2024-08-19,Elektronik,31956166.68,Semarang
TRX-00188,PLG-0001,2024-08-19,Otomotif,13641364.28,Makassar
TRX-00189,PLG-0012,2024-08-09,Makanan,1300717.1,Denpasar
TRX-00190,PLG-0018,2024-04-29,Elektronik,2324547.14,Jakarta
TRX-00191,PLG-0001,2024-10-05,Olahraga,4397967.49,Makassar
TRX-00192,PLG-0007,2024-11-04,Otomotif,19343806.01,Denpasar
TRX-00193,PLG-0029,2024-10-27,Fashion,770593.55,Semarang
TRX-00194,PLG-0003,2024-06-23,Olahraga,14153214.31,Palembang
TRX-00195,PLG-0007,2024-09-16,Kesehatan,1814461.25,Denpasar
TRX-00196,PLG-0007,2024-10-07,Kesehatan,2319144.31,Denpasar
TRX-00197,PLG-0003,2024-02-03,Olahraga,7174971.48,Palembang
TRX-00198,PLG-0039,2024-05-12,Fashion,443115.77,Denpasar
TRX-00199,PLG-0025,2024-04-04,Makanan,662075.2,Denpasar
TRX-00200,PLG-0001,2024-03-09,Makanan,1463607.76,Makassar
TRX-00201,PLG-0050,2024-01-17,Makanan,1684197.04,Medan
TRX-00202,PLG-0035,2024-11-27,Kesehatan,2243675.98,Balikpapan
TRX-00203,PLG-0003,2024-07-16,Otomotif,10035781.56,Palembang
TRX-00204,PLG-0030,2024-12-06,Otomotif,1162588.09,Yogyakarta
TRX-00205,PLG-0001,2024-11-13,Otomotif,6906653.39,Makassar
TRX-00206,PLG-0050,2024-09-26,Makanan,824990.63,Medan
TRX-00207,PLG-0017,2024-11-15,Kesehatan,2945346.44,Medan
TRX-00208,PLG-0016,2024-06-08,Otomotif,6834721.01,Yogyakarta
TRX-00209,PLG-0001,2024-03-26,Otomotif,19315464.62,Makassar
TRX-00210,PLG-0037,2024-05-18,Elektronik,29801860.32,Semarang
TRX-00211,PLG-0001,2024-07-04,Otomotif,37205166.81,Makassar
TRX-00212,PLG-0002,2024-10-17,Otomotif,25956060.75,Denpasar
TRX-00213,PLG-0001,2024-05-31,Olahraga,715715.96,Makassar
TRX-00214,PLG-0025,2024-07-09,Otomotif,12354047.12,Denpasar
TRX-00215,PLG-0002,2024-07-05,Kesehatan,288035.88,Denpasar
TRX-00216,PLG-0038,2024-02-01,Fashion,1369439.13,Bandung
TRX-00217,PLG-0016,2024-11-25,Elektronik,8478878.21,Yogyakarta
TRX-00218,PLG-0001,2024-09-17,Olahraga,7628202.39,Makassar
TRX-00219,PLG-0001,2024-11-12,Otomotif,11396927.77,Makassar
TRX-00220,PLG-0001,2024-07-04,Makanan,794297.46,Makassar
TRX-00221,PLG-0013,2024-05-12,Makanan,612533.1,Semarang
TRX-00222,PLG-0027,2024-02-16,Olahraga,12219884.33,Medan
TRX-00223,PLG-0002,2024-05-03,Elektronik,12182448.11,Denpasar
TRX-00224,PLG-0032,2024-08-08,Fashion,462258.6,Yogyakarta
TRX-00225,PLG-0001,2024-01-26,Makanan,1182019.8,Makassar
TRX-00226,PLG-0027,2024-04-13,Kesehatan,3331346.88,Medan
TRX-00227,PLG-0041,2024-02-02,Fashion,2363686.37,Balikpapan
TRX-00228,PLG-0024,2024-08-12,Fashion,6575566.1,Surabaya
TRX-00229,PLG-0019,2024-10-14,Otomotif,16352270.28,Denpasar
TRX-00230,PLG-0030,2024-08-03,Olahraga,20931618.57,Yogyakarta
TRX-00231,PLG-0001,2024-10-31,Olahraga,6879146.84,Makassar
TRX-00232,PLG-0002,2024-12-13,Makanan,1110847.5,Denpasar
TRX-00233,PLG-0001,2024-01-05,Otomotif,2696886.08,Makassar
TRX-00234,PLG-0009,2024-07-31,Otomotif,23268064.49,Palembang
TRX-00235,PLG-0022,2024-01-31,Fashion,3145918.93,Palembang
TRX-00236,PLG-0015,2024-09-21,Elektronik,7544352.26,Semarang
TRX-00237,PLG-0032,2024-05-13,Makanan,1523567.04,Yogyakarta
TRX-00238,PLG-0002,2024-10-12,Otomotif,30684037.64,Denpasar
TRX-00239,PLG-0021,2024-10-01,Olahraga,3622870.02,Bandung
TRX-00240,PLG-0002,2024-10-15,Elektronik,93872529.66,Denpasar
TRX-00241,PLG-0003,2024-07-23,Fashion,3163266.13,Palembang
TRX-00242,PLG-0020,2024-12-27,Makanan,816671.41,Denpasar
TRX-00243,PLG-0048,2024-09-22,Makanan,182593.02,Balikpapan
TRX-00244,PLG-0014,2024-06-03,Makanan,466175.39,Palembang
TRX-00245,PLG-0001,2024-01-10,Elektronik,75851779.48,Makassar
TRX-00246,PLG-0014,2024-08-21,Fashion,758495.33,Palembang
TRX-00247,PLG-0001,2024-06-22,Makanan,1126814.53,Makassar
TRX-00248,PLG-0035,2024-08-26,Olahraga,4914246.46,Balikpapan
TRX-00249,PLG-0020,2024-10-08,Olahraga,1543487.51,Denpasar
TRX-00250,PLG-0002,2024-04-02,Olahraga,1539508.64,Denpasar
TRX-00251,PLG-0001,2024-09-10,Elektronik,12127985.93,Makassar
TRX-00252,PLG-0002,2024-02-19,Kesehatan,3150149.02,Denpasar
TRX-00253,PLG-0048,2024-01-26,Otomotif,24612826.59,Balikpapan
TRX-00254,PLG-0007,2024-10-30,Otomotif,32356358.83,Denpasar
TRX-00255,PLG-0025,2024-12-26,Fashion,3062156.92,Denpasar
TRX-00256,PLG-0015,2024-05-26,Olahraga,4999163.13,Semarang
TRX-00257,PLG-0012,2024-04-07,Fashion,5691883.93,Denpasar
TRX-00258,PLG-0001,2024-03-09,Kesehatan,1896611.88,Makassar
TRX-00259,PLG-0043,2024-05-13,Otomotif,4606895.47,Medan
TRX-00260,PLG-0003,2024-07-17,Olahraga,3820036.23,Palembang
TRX-00261,PLG-0012,2024-01-20,Kesehatan,226176.79,Denpasar
TRX-00262,PLG-0019,2024-09-28,Makanan,1085372.83,Denpasar
TRX-00263,PLG-0016,2024-10-21,Kesehatan,4649382.14,Yogyakarta
TRX-00264,PLG-0042,2024-01-10,Elektronik,80999798.45,Makassar
TRX-00265,PLG-0001,2024-05-14,Elektronik,6520887.18,Makassar
TRX-00266,PLG-0009,2024-05-24,Elektronik,77476376.07,Palembang
TRX-00267,PLG-0006,2024-09-20,Makanan,793268.14,Yogyakarta
TRX-00268,PLG-0008,2024-11-19,Makanan,212347.79,Balikpapan
TRX-00269,PLG-0001,2024-09-14,Olahraga,729720.59,Makassar
TRX-00270,PLG-0001,2024-02-18,Elektronik,40528444.16,Makassar
TRX-00271,PLG-0003,2024-01-03,Kesehatan,1552291.58,Palembang
TRX-00272,PLG-0003,2024-09-12,Olahraga,4044296.75,Palembang
TRX-00273,PLG-0006,2024-06-05,Olahraga,25966370.19,Yogyakarta
TRX-00274,PLG-0014,2024-03-04,Fashion,1367968.71,Palembang
TRX-00275,PLG-0015,2024-12-03,Olahraga,10900084.56,Semarang
TRX-00276,PLG-0006,2024-10-23,Elektronik,14101294.79,Yogyakarta
TRX-00277,PLG-0006,2024-02-19,Elektronik,43327953.76,Yogyakarta
TRX-00278,PLG-0002,2024-05-19,Kesehatan,2109327.1,Denpasar
TRX-00279,PLG-0012,2024-01-28,Fashion,3430873.4,Denpasar
TRX-00280,PLG-0004,2024-03-12,Otomotif,8346000.26,Denpasar
TRX-00281,PLG-0001,2024-06-29,Makanan,1029506.33,Makassar
TRX-00282,PLG-0006,2024-10-06,Olahraga,8579746.49,Yogyakarta
TRX-00283,PLG-0008,2024-07-30,Otomotif,1929508.9,Balikpapan
TRX-00284,PLG-0002,2024-10-06,Kesehatan,3486453.54,Denpasar
TRX-00285,PLG-0012,2024-06-23,Kesehatan,1597721.26,Denpasar
TRX-00286,PLG-0011,2024-04-28,Makanan,310588.82,Bandung
TRX-00287,PLG-0019,2024-09-08,Otomotif,17014044.27,Denpasar
TRX-00288,PLG-0016,2024-09-27,Elektronik,11674327.1,Yogyakarta
TRX-00289,PLG-0016,2024-08-28,Kesehatan,1153526.15,Yogyakarta
TRX-00290,PLG-0004,2024-02-15,Otomotif,27216810.78,Denpasar
TRX-00291,PLG-0026,2024-02-22,Makanan,80444.25,Makassar
TRX-00292,PLG-0011,2024-05-13,Otomotif,28489876.23,Bandung
TRX-00293,PLG-0006,2024-06-11,Fashion,7951618.29,Yogyakarta
TRX-00294,PLG-0014,2024-08-20,Olahraga,26081395.89,Palembang
TRX-00295,PLG-0005,2024-01-02,Kesehatan,4894265.59,Palembang
TRX-00296,PLG-0009,2024-01-03,Fashion,3839501.2,Palembang
TRX-00297,PLG-0022,2024-12-07,Otomotif,9055718.61,Palembang
TRX-00298,PLG-0036,2024-07-13,Makanan,1231163.99,Jakarta
TRX-00299,PLG-0040,2024-10-09,Olahraga,14507452.79,Semarang
TRX-00300,PLG-0009,2024-10-27,Kesehatan,323012.01,Palembang
TRX-00301,PLG-0009,2024-03-30,Fashion,1159068.29,Palembang
TRX-00302,PLG-0027,2024-08-24,Elektronik,33918709.22,Medan
TRX-00303,PLG-0004,2024-01-31,Fashion,1379099.63,Denpasar
TRX-00304,PLG-0030,2024-02-29,Kesehatan,6019269.44,Yogyakarta
TRX-00305,PLG-0008,2024-11-22,Kesehatan,1285829.74,Balikpapan
TRX-00306,PLG-0001,2024-07-22,Makanan,191854.3,Makassar
TRX-00307,PLG-0001,2024-03-14,Elektronik,42305645.47,Makassar
TRX-00308,PLG-0031,2024-09-18,Otomotif,14439422.39,Denpasar
TRX-00309,PLG-0001,2024-04-24,Makanan,123827.9,Makassar
TRX-00310,PLG-0003,2024-08-17,Fashion,3766455.57,Palembang
TRX-00311,PLG-0004,2024-07-06,Olahraga,4305937.4,Denpasar
TRX-00312,PLG-0002,2024-09-30,Fashion,2662531.72,Denpasar
TRX-00313,PLG-0004,2024-10-07,Kesehatan,1593690.04,Denpasar
TRX-00314,PLG-0022,2024-11-07,Elektronik,52336671.7,Palembang
TRX-00315,PLG-0001,2024-02-05,Makanan,163502.27,Makassar
TRX-00316,PLG-0029,2024-10-05,Makanan,643620.97,Semarang
TRX-00317,PLG-0032,2024-04-30,Fashion,3926157.5,Yogyakarta
TRX-00318,PLG-0005,2024-07-09,Kesehatan,5515742.04,Palembang
TRX-00319,PLG-0002,2024-02-13,Elektronik,46226820.41,Denpasar
TRX-00320,PLG-0013,2024-12-27,Otomotif,704648.4,Semarang
TRX-00321,PLG-0001,2024-09-09,Elektronik,49109959.25,Makassar
TRX-00322,PLG-0005,2024-08-31,Makanan,202562.29,Palembang
TRX-00323,PLG-0045,2024-12-25,Elektronik,32571905.41,Surabaya
TRX-00324,PLG-0050,2024-01-29,Elektronik,20708264.79,Medan
TRX-00325,PLG-0024,2024-08-27,Kesehatan,5271771.04,Surabaya
TRX-00326,PLG-0004,2024-02-11,Makanan,616292.45,Denpasar
TRX-00327,PLG-0018,2024-06-22,Makanan,1354616.4,Jakarta
TRX-00328,PLG-0019,2024-06-21,Olahraga,28138398.16,Denpasar
TRX-00329,PLG-0005,2024-08-23,Makanan,622348.2,Palembang
TRX-00330,PLG-0015,2024-11-09,Elektronik,7378850.29,Semarang
TRX-00331,PLG-0001,2024-07-04,Otomotif,21921603.12,Makassar
TRX-00332,PLG-0002,2024-01-04,Elektronik,9926078.2,Denpasar
TRX-00333,PLG-0010,2024-12-17,Elektronik,73059280.98,Surabaya
TRX-00334,PLG-0002,2024-10-03,Elektronik,12458608.89,Denpasar
TRX-00335,PLG-0002,2024-05-06,Elektronik,22951496.35,Denpasar
TRX-00336,PLG-0030,2024-04-24,Elektronik,46450491.26,Yogyakarta
TRX-00337,PLG-0049,2024-10-07,Olahraga,8693812.14,Medan
TRX-00338,PLG-0011,2024-05-27,Kesehatan,2626922.1,Bandung
TRX-00339,PLG-0031,2024-04-23,Olahraga,6225758.77,Denpasar
TRX-00340,PLG-0049,2024-06-24,Elektronik,55384951.65,Medan
TRX-00341,PLG-0001,2024-01-29,Olahraga,1637314.83,Makassar
TRX-00342,PLG-0007,2024-03-14,Otomotif,23777233.43,Denpasar
TRX-00343,PLG-0005,2024-01-24,Elektronik,32916867.32,Palembang
TRX-00344,PLG-0001,2024-10-15,Olahraga,4123153.13,Makassar
TRX-00345,PLG-0023,2024-03-21,Olahraga,12668441.07,Palembang
TRX-00346,PLG-0006,2024-08-14,Otomotif,32957033.3,Yogyakarta
TRX-00347,PLG-0008,2024-02-17,Elektronik,12513259.54,Balikpapan
TRX-00348,PLG-0001,2024-10-17,Otomotif,8324329.22,Makassar
TRX-00349,PLG-0002,2024-10-30,Elektronik,30171618.14,Denpasar
TRX-00350,PLG-0038,2024-06-10,Olahraga,12547692.24,Bandung
TRX-00351,PLG-0001,2024-04-14,Makanan,840082.01,Makassar
TRX-00352,PLG-0002,2024-01-16,Olahraga,3038576.21,Denpasar
TRX-00353,PLG-0003,2024-11-20,Otomotif,24190443.92,Palembang
TRX-00354,PLG-0008,2024-11-27,Otomotif,27759488.99,Balikpapan
TRX-00355,PLG-0012,2024-12-28,Otomotif,3414466.32,Denpasar
TRX-00356,PLG-0008,2024-09-25,Fashion,4943428.66,Balikpapan
TRX-00357,PLG-0001,2024-05-03,Otomotif,3113443.92,Makassar
TRX-00358,PLG-0003,2024-09-02,Kesehatan,3181631.51,Palembang
TRX-00359,PLG-0031,2024-12-02,Otomotif,19806844.51,Denpasar
TRX-00360,PLG-0015,2024-05-15,Olahraga,2355484.97,Semarang
TRX-00361,PLG-0016,2024-09-29,Olahraga,17058513.14,Yogyakarta
TRX-00362,PLG-0017,2024-04-27,Fashion,3951042.4,Medan
TRX-00363,PLG-0024,2024-05-16,Makanan,1440320.55,Surabaya
TRX-00364,PLG-0001,2024-12-19,Elektronik,93657113.0,Makassar
